GaugeID,mean_severe_prob,event_count,lat,lon,risk_category,confidence
INDOFLOODS-gauge-544,0.71639967,2,22.5992,80.3639,High,Low
INDOFLOODS-gauge-560,0.42448202,268,21.2994,76.235,Medium,High
INDOFLOODS-gauge-562,0.10472664,47,20.8742,76.9897,Low,High
INDOFLOODS-gauge-571,0.7128754,242,20.7947,79.6478,High,High
INDOFLOODS-gauge-585,0.51126826,2,20.1006,73.2706,High,Low
INDOFLOODS-gauge-589,0.5913581,25,16.7808,74.6333,High,High
INDOFLOODS-gauge-596,0.31714004,2,17.0692,73.45,Medium,Low
INDOFLOODS-gauge-602,0.38107723,1,18.0922,73.4603,Medium,Low
INDOFLOODS-gauge-603,0.587408,17,17.5342,75.885,High,High
INDOFLOODS-gauge-609,0.3456481,35,19.81,79.38,Medium,High
INDOFLOODS-gauge-612,0.57349676,35,17.4131,75.8478,High,High
INDOFLOODS-gauge-617,0.42139006,2,21.0719,75.9461,Medium,Low
INDOFLOODS-gauge-626,0.65406126,1,18.07,75.12,High,Low
INDOFLOODS-gauge-635,0.5002919,9,19.8783,74.4819,High,High
INDOFLOODS-gauge-636,0.10706449,50,20.874199999999995,76.9897,Low,High
INDOFLOODS-gauge-640,0.6546372,26,18.4739,74.5764,High,High
INDOFLOODS-gauge-642,0.66250604,14,17.9722,75.1392,High,High
INDOFLOODS-gauge-643,0.5705236,69,16.6753,74.5736,High,High
INDOFLOODS-gauge-645,0.51987356,2,20.0019,73.8033,High,Low
INDOFLOODS-gauge-646,0.30570272,10,18.5192,73.1564,Medium,High
INDOFLOODS-gauge-648,0.30506706,1,18.7367,73.1108,Medium,Low
INDOFLOODS-gauge-650,0.6565119,65,20.9358,76.4756,High,High
INDOFLOODS-gauge-654,0.39142412,13,17.2722,74.165,Medium,High
INDOFLOODS-gauge-656,0.7174492,1,16.95,74.53,High,Low
INDOFLOODS-gauge-665,0.53505814,3,20.99,76.73,High,Low
INDOFLOODS-gauge-668,0.5500074,1,19.1622,73.2544,High,Low
INDOFLOODS-gauge-678,0.5885901,29,16.6836,74.6031,High,High
INDOFLOODS-gauge-679,0.9101524,70,19.0439,77.4556,Very High,High
INDOFLOODS-gauge-681,0.61434996,26,16.855,74.4967,High,High
INDOFLOODS-gauge-682,0.5818773,14,17.9114,75.00750000000001,High,High
INDOFLOODS-gauge-684,0.6201315,5,17.2944,74.1903,High,High
INDOFLOODS-gauge-694,0.70688033,1,20.9156,86.2747,High,Low
INDOFLOODS-gauge-705,0.5459474,1,21.29,85.03,High,Low
INDOFLOODS-gauge-707,0.40958896,48,21.55,86.92,Medium,High
INDOFLOODS-gauge-715,0.5229075,34,19.5167,84.8833,High,High
INDOFLOODS-gauge-724,0.5580737,28,19.0833,83.8056,High,High
INDOFLOODS-gauge-727,0.66774833,18,22.2197,86.7167,High,High
INDOFLOODS-gauge-731,0.5918703,11,21.7678,87.1642,High,High
INDOFLOODS-gauge-734,0.7360491,1,20.475,85.775,High,Low
INDOFLOODS-gauge-739,0.69548637,78,21.2111,86.1206,High,High
INDOFLOODS-gauge-759,0.46581498,28,20.8897,86.0142,Medium,High
INDOFLOODS-gauge-768,0.35917935,45,18.8483,83.8731,Medium,High
INDOFLOODS-gauge-786,0.53368866,2,23.6275,74.5453,High,Low
INDOFLOODS-gauge-814,0.5711173,3,24.4939,72.7917,High,Low
INDOFLOODS-gauge-830,0.47819567,18,11.0811,77.8903,Medium,High
INDOFLOODS-gauge-832,0.36694205,1,10.95,76.79,Medium,Low
INDOFLOODS-gauge-833,0.26250303,6,11.49,76.83,Medium,High
INDOFLOODS-gauge-836,0.4912157,6,8.7144,77.835,Medium,High
INDOFLOODS-gauge-844,0.54866195,2,10.8808,77.9847,High,Low
INDOFLOODS-gauge-846,0.4380357,21,11.2878,76.8911,Medium,High
INDOFLOODS-gauge-85,0.37275323,83,18.3133,83.8842,Medium,High
INDOFLOODS-gauge-852,0.43063074,37,8.3053,77.1856,Medium,High
INDOFLOODS-gauge-858,0.28772727,33,10.0011,77.485,Medium,High
INDOFLOODS-gauge-861,0.37261835,18,9.5531,78.5861,Medium,High
INDOFLOODS-gauge-872,0.45239815,14,10.943300000000002,78.43500000000002,Medium,High
INDOFLOODS-gauge-877,0.19964656,1,11.8,77.8,Low,Low
INDOFLOODS-gauge-879,0.34649047,27,12.6842,78.5394,Medium,High
INDOFLOODS-gauge-884,0.48859578,14,11.4778,77.7,Medium,High
