GaugeID,mean_severe_prob,event_count,lat,lon,risk_category,confidence
INDOFLOODS-gauge-544,0.3956011,2,22.5992,80.3639,Medium,Low
INDOFLOODS-gauge-560,0.2714549,268,21.2994,76.235,Medium,High
INDOFLOODS-gauge-562,0.00078518694,47,20.8742,76.9897,Low,High
INDOFLOODS-gauge-571,0.5957376,242,20.7947,79.6478,High,High
INDOFLOODS-gauge-585,0.9886572,2,20.1006,73.2706,Very High,Low
INDOFLOODS-gauge-589,0.36097232,25,16.7808,74.6333,Medium,High
INDOFLOODS-gauge-596,0.29059675,2,17.0692,73.45,Medium,Low
INDOFLOODS-gauge-602,0.6310517,1,18.0922,73.4603,High,Low
INDOFLOODS-gauge-603,0.41385022,17,17.5342,75.885,Medium,High
INDOFLOODS-gauge-609,0.17507286,35,19.81,79.38,Low,High
INDOFLOODS-gauge-612,0.37403578,35,17.4131,75.8478,Medium,High
INDOFLOODS-gauge-617,0.8898292,2,21.0719,75.9461,Very High,Low
INDOFLOODS-gauge-626,0.19393994,1,18.07,75.12,Low,Low
INDOFLOODS-gauge-635,0.07910946,9,19.8783,74.4819,Low,High
INDOFLOODS-gauge-636,0.0011427002,50,20.874199999999995,76.9897,Low,High
INDOFLOODS-gauge-640,0.50405496,26,18.4739,74.5764,High,High
INDOFLOODS-gauge-642,0.78177273,14,17.9722,75.1392,Very High,High
INDOFLOODS-gauge-643,0.42141476,69,16.6753,74.5736,Medium,High
INDOFLOODS-gauge-645,0.445032,2,20.0019,73.8033,Medium,Low
INDOFLOODS-gauge-646,0.11914726,10,18.5192,73.1564,Low,High
INDOFLOODS-gauge-648,0.50847846,1,18.7367,73.1108,High,Low
INDOFLOODS-gauge-650,0.555593,65,20.9358,76.4756,High,High
INDOFLOODS-gauge-654,0.15759756,13,17.2722,74.165,Low,High
INDOFLOODS-gauge-656,0.8539565,1,16.95,74.53,Very High,Low
INDOFLOODS-gauge-665,0.3739395,3,20.99,76.73,Medium,Low
INDOFLOODS-gauge-668,0.58068603,1,19.1622,73.2544,High,Low
INDOFLOODS-gauge-678,0.27953315,29,16.6836,74.6031,Medium,High
INDOFLOODS-gauge-679,0.9994813,70,19.0439,77.4556,Very High,High
INDOFLOODS-gauge-681,0.57840186,26,16.855,74.4967,High,High
INDOFLOODS-gauge-682,0.2915647,14,17.9114,75.00750000000001,Medium,High
INDOFLOODS-gauge-684,0.007981946,5,17.2944,74.1903,Low,High
INDOFLOODS-gauge-694,0.17114294,1,20.9156,86.2747,Low,Low
INDOFLOODS-gauge-705,0.13329668,1,21.29,85.03,Low,Low
INDOFLOODS-gauge-707,0.13913728,48,21.55,86.92,Low,High
INDOFLOODS-gauge-715,0.32483461,34,19.5167,84.8833,Medium,High
INDOFLOODS-gauge-724,0.46113825,28,19.0833,83.8056,Medium,High
INDOFLOODS-gauge-727,0.56124747,18,22.2197,86.7167,High,High
INDOFLOODS-gauge-731,0.45473072,11,21.7678,87.1642,Medium,High
INDOFLOODS-gauge-734,0.12711002,1,20.475,85.775,Low,Low
INDOFLOODS-gauge-739,0.5534831,78,21.2111,86.1206,High,High
INDOFLOODS-gauge-759,0.14430979,28,20.8897,86.0142,Low,High
INDOFLOODS-gauge-768,0.40250343,45,18.8483,83.8731,Medium,High
INDOFLOODS-gauge-786,0.7590212,2,23.6275,74.5453,Very High,Low
INDOFLOODS-gauge-814,0.34202608,3,24.4939,72.7917,Medium,Low
INDOFLOODS-gauge-830,0.39228097,18,11.0811,77.8903,Medium,High
INDOFLOODS-gauge-832,0.96979326,1,10.95,76.79,Very High,Low
INDOFLOODS-gauge-833,0.23821838,6,11.49,76.83,Low,High
INDOFLOODS-gauge-836,0.3387613,6,8.7144,77.835,Medium,High
INDOFLOODS-gauge-844,0.011797469,2,10.8808,77.9847,Low,Low
INDOFLOODS-gauge-846,0.49313873,21,11.2878,76.8911,Medium,High
INDOFLOODS-gauge-85,0.28536853,83,18.3133,83.8842,Medium,High
INDOFLOODS-gauge-852,0.40121534,37,8.3053,77.1856,Medium,High
INDOFLOODS-gauge-858,0.19590165,33,10.0011,77.485,Low,High
INDOFLOODS-gauge-861,0.1689884,18,9.5531,78.5861,Low,High
INDOFLOODS-gauge-872,0.56968886,14,10.943300000000002,78.43500000000002,High,High
INDOFLOODS-gauge-877,0.7906477,1,11.8,77.8,Very High,Low
INDOFLOODS-gauge-879,0.11406922,27,12.6842,78.5394,Low,High
INDOFLOODS-gauge-884,0.50246173,14,11.4778,77.7,High,High
INDOFLOODS-gauge-885,0.66398317,3,9.3239,77.9903,High,Low
INDOFLOODS-gauge-889,0.009573559,1,11.0317,77.8875,Low,Low
INDOFLOODS-gauge-890,0.00022048208,9,8.16,77.4575,Low,High
INDOFLOODS-gauge-896,0.13761054,6,11.5728,76.9192,Low,High
INDOFLOODS-gauge-898,0.9929476,3,12.555,78.1386,Very High,Low
INDOFLOODS-gauge-913,0.9469882,1,16.0869,78.8967,Very High,Low
INDOFLOODS-gauge-916,0.8891904,13,17.75,77.9283,Very High,High
INDOFLOODS-gauge-917,0.2685487,6,16.2592,77.8411,Medium,High
INDOFLOODS-gauge-922,0.0102393525,2,17.8372,80.8861,Low,Low
INDOFLOODS-gauge-925,0.17014796,6,17.6681,80.8772,Low,High
INDOFLOODS-gauge-926,0.20595026,5,17.2544,77.4628,Low,High
INDOFLOODS-gauge-939,0.7405504,33,18.2167,77.9406,High,High
INDOFLOODS-gauge-943,0.01882117,2,18.6203,79.8042,Low,Low
INDOFLOODS-gauge-944,0.8268299,2,24.0789,91.5919,Very High,Low
INDOFLOODS-gauge-97,0.73850864,7,18.2,82.65,High,High
